tx_power_max,tput_airtime_tx,avg_util_rx_other_bss,avg_util_unknown_wifi,avg_util_non_wifi,pq_tpt_diff,avg_util_all,avg_nclients,airuse_by_len,retry_by_req,pq_air_diff,pq_airuse,pq_length,pq_max_used,pq_requested,pq_retried,pq_rtsfail,pq_throughput,wirelink_dl,tput_parametric,chanutil_intf,num_streams,band,avg_rssi,txrate_by_streams,rxrate_by_streams,txrate_by_wandl,rxrate_by_wandl,download,download_norm
8,0.20652471,0.12037264,0.007355346,0.001310351,39273.0,0.5505281,13,12.184027777777779,0.003910323253388947,6996.0,7018.0,576,44.0,3836.0,15.0,185.0,39286,90.0,94.80032995372872,0.129038337,3,5,-53.0,180.0,200.0,6.0,6.666666666666667,36.629,0.40698888888888884
8,0.15688161,0.20205687,0.0849234,0.001299455,0.0,0.5956871,14,0.03819444444444445,0.0,0.0,22.0,576,1.0,14.0,0.0,2.0,13,90.0,70.59699775638832,0.288279725,3,5,-53.0,200.0,200.0,6.666666666666667,6.666666666666667,26.291,0.2921222222222222
8,0.15688161,0.20205687,0.0849234,0.001299455,6.0,0.5956871,14,0.03819444444444445,0.0,36.0,22.0,576,1.0,14.0,0.0,2.0,13,90.0,70.59699775638832,0.288279725,3,5,-53.0,150.0,200.0,5.0,6.666666666666667,27.193,0.30214444444444444
8,0.143840826,0.09276644,0.057957303,0.002846166,0.0,0.61017686,14,0.10069444444444445,0.10256410256410256,0.0,58.0,576,4.0,39.0,4.0,5.0,19,90.0,65.07871539269819,0.153569909,3,5,-55.0,200.0,8.0,6.666666666666667,0.26666666666666666,40.289,0.4476555555555556
8,0.143840826,0.09276644,0.057957303,0.002846166,0.0,0.61017686,14,0.10069444444444445,0.10256410256410256,0.0,58.0,576,4.0,39.0,4.0,5.0,19,90.0,65.07871539269819,0.153569909,3,5,-55.0,200.0,200.0,6.666666666666667,6.666666666666667,26.209,0.2912111111111111
8,0.143840826,0.09276644,0.057957303,0.002846166,0.0,0.61017686,14,0.10069444444444445,0.10256410256410256,0.0,58.0,576,4.0,39.0,4.0,5.0,19,90.0,65.07871539269819,0.153569909,3,5,-55.0,135.0,200.0,4.5,6.666666666666667,32.415,0.36016666666666663
8,0.143840826,0.09276644,0.057957303,0.002846166,0.0,0.61017686,14,0.10069444444444445,0.10256410256410256,0.0,58.0,576,4.0,39.0,4.0,5.0,19,90.0,65.07871539269819,0.153569909,3,5,-55.0,180.0,162.0,6.0,5.4,32.516,0.3612888888888889
8,0.143840826,0.09276644,0.057957303,0.002846166,0.0,0.61017686,14,0.10069444444444445,0.10256410256410256,0.0,58.0,576,4.0,39.0,4.0,5.0,19,90.0,65.07871539269819,0.153569909,3,5,-55.0,180.0,135.0,6.0,4.5,28.631,0.31812222222222225
8,0.143840826,0.09276644,0.057957303,0.002846166,443.0,0.61017686,14,0.10069444444444445,0.10256410256410256,2488.0,58.0,576,4.0,39.0,4.0,5.0,19,90.0,65.07871539269819,0.153569909,3,5,-55.0,200.0,200.0,6.666666666666667,6.666666666666667,36.562,0.4062444444444444
8,0.20735136,0.0870998,0.011414121,0.000755734,0.0,0.5396095999999999,14,4.420138888888889,0.023474178403755867,0.0,2546.0,576,34.0,2130.0,50.0,184.0,462,90.0,94.0382527454813,0.099269655,3,5,-53.0,180.0,200.0,6.0,6.666666666666667,16.278,0.18086666666666665
8,0.20735136,0.0870998,0.011414121,0.000755734,26032.0,0.5396095999999999,14,4.420138888888889,0.023474178403755867,750.0,2546.0,576,34.0,2130.0,50.0,184.0,462,90.0,94.0382527454813,0.099269655,3,5,-53.0,180.0,200.0,6.0,6.666666666666667,34.343,0.3815888888888889
8,0.20043387,0.19080448,0.091960095,0.00152214,13706.0,0.5472956999999999,14,5.722222222222222,0.06142452624700501,3576.0,3296.0,576,36.0,4591.0,282.0,200.0,26494,90.0,89.59511355056917,0.284286715,3,5,-56.0,135.0,200.0,4.5,6.666666666666667,31.287,0.34763333333333335
8,0.18513525600000005,0.09941471,0.016820263000000002,0.000974339,0.0,0.56429416,14,11.930555555555555,0.059446885500129235,0.0,6872.0,576,34.0,3869.0,230.0,174.0,40200,90.0,83.71220411093157,0.117209312,3,5,-55.0,162.0,200.0,5.4,6.666666666666667,37.166,0.4129555555555555
8,0.18513525600000005,0.09941471,0.016820263000000002,0.000974339,40193.0,0.56429416,14,11.930555555555555,0.059446885500129235,6819.0,6872.0,576,34.0,3869.0,230.0,174.0,40200,90.0,83.71220411093157,0.117209312,3,5,-55.0,200.0,200.0,6.666666666666667,6.666666666666667,26.182,0.2909111111111111
8,0.25141176,0.21553722,0.09339477,0.001753764,75.0,0.4906536,14,0.0920138888888889,0.09090909090909091,216.0,53.0,576,0.0,22.0,2.0,1.0,7,90.0,110.6782726253783,0.310685754,3,5,-54.0,200.0,200.0,6.666666666666667,6.666666666666667,37.73,0.41922222222222216
8,0.122494896,0.09819819,0.017789591,0.002267397,65.0,0.63389456,14,0.4670138888888889,0.03731343283582089,214.0,269.0,576,9.0,134.0,5.0,6.0,82,90.0,53.62322205994395,0.118255178,3,5,-56.0,200.0,200.0,6.666666666666667,6.666666666666667,21.203000000000007,0.23558888888888896
8,0.203134914,0.05930157,0.014912433,0.002676065,2.0,0.54429454,14,0.0954861111111111,0.0,4.0,55.0,576,0.0,24.0,0.0,1.0,17,90.0,90.1530737350579,0.07689006799999999,3,5,-54.0,180.0,8.0,6.0,0.26666666666666666,36.566,0.4062888888888889
8,0.14264289,0.08536353,0.02640731,0.000845299,3.0,0.6215079000000001,13,0.08854166666666667,0.0,14.0,51.0,576,0.0,20.0,0.0,3.0,19,90.0,63.239386649298794,0.112616139,3,5,-53.0,200.0,200.0,6.666666666666667,6.666666666666667,29.149,0.32387777777777776
8,0.28680012,0.08531641,0.003493861,0.000756775,0.0,0.4613332000000001,13,0.0642361111111111,0.26666666666666666,2.0,37.0,576,0.0,15.0,4.0,0.0,16,90.0,127.62465510601493,0.089567046,3,5,-53.0,180.0,200.0,6.0,6.666666666666667,31.982,0.35535555555555554
8,0.262764855,0.09157958,0.005159743,0.000825129,10.0,0.48803905,13,0.06076388888888889,0.0,25.0,35.0,576,0.0,16.0,0.0,0.0,16,90.0,116.76989299984734,0.097564452,3,5,-54.0,200.0,200.0,6.666666666666667,6.666666666666667,11.853,0.13169999999999998
8,0.555123456,0.07758129999999999,0.006266336,0.0005389559999999999,4911.0,0.16319616,13,0.017361111111111112,0.0,1570.0,10.0,576,0.0,4.0,0.0,1.0,6,90.0,247.069151063759,0.084386592,3,5,-53.0,200.0,200.0,6.666666666666667,6.666666666666667,27.933000000000003,0.3103666666666667
8,0.324259137,0.07305365,0.005768087,0.000439418,484.0,0.41971207,13,2.7430555555555554,0.028106508875739646,734.0,1580.0,576,8.0,676.0,19.0,20.0,4917,90.0,144.83177864713852,0.079261155,3,5,-53.0,200.0,200.0,6.666666666666667,6.666666666666667,6.14,0.06822222222222221
8,0.14810913,0.11799834,0.07261729,0.002097349,5324.0,0.6154343000000001,13,1.46875,0.02364864864864865,627.0,846.0,576,19.0,592.0,14.0,48.0,5401,90.0,65.8507200733952,0.192712979,3,5,-54.0,200.0,200.0,6.666666666666667,6.666666666666667,9.013,0.10014444444444444
8,0.27126108,0.12598825,0.043984618,0.00482558,74.0,0.4885988000000001,12,0.3802083333333333,0.2782608695652174,187.0,219.0,576,7.0,115.0,32.0,14.0,77,90.0,121.13012497368487,0.174798448,3,5,-53.0,162.0,8.0,5.4,0.26666666666666666,31.853,0.35392222222222225
8,0.339629598,0.096511364,0.014008438,0.000525341,5.0,0.41263378,12,0.05555555555555555,0.0,10.0,32.0,576,0.0,16.0,0.0,0.0,3,90.0,152.0441181690907,0.111045143,3,5,-53.0,180.0,8.0,6.0,0.26666666666666666,28.439,0.3159888888888889
8,0.211987683,0.076361,0.009951342,0.000241191,4.0,0.56445813,11,0.03819444444444445,0.0,6.0,22.0,576,0.0,10.0,0.0,0.0,8,90.0,94.18366220374301,0.086553533,3,5,-52.0,200.0,200.0,6.666666666666667,6.666666666666667,10.86,0.12066666666666666
