,time,link,rx_fcserrors,admin_status,poe_status,poe_power,rx_packets,tx_packets
129,2019-12-04T02:17,TRUE,3714,TRUE,TRUE,9.4,0,143
130,2019-12-04T02:18,TRUE,3042,TRUE,TRUE,9.6,0,242
131,2019-12-04T02:19,FALSE,2245,TRUE,TRUE,10.6,0,81
132,2019-12-04T02:20,TRUE,4051,TRUE,TRUE,11.4,0,286
133,2019-12-04T02:21,TRUE,2983,TRUE,TRUE,9.6,0,70
134,2019-12-04T02:22,TRUE,3511,TRUE,TRUE,9.4,0,620
135,2019-12-04T02:23,TRUE,2960,TRUE,TRUE,10.6,0,219
136,2019-12-04T02:24,TRUE,3532,TRUE,TRUE,9.6,0,557
137,2019-12-04T02:25,TRUE,1852,TRUE,TRUE,9.2,0,333
138,2019-12-04T02:26,TRUE,748,TRUE,TRUE,10.6,0,456
139,2019-12-04T02:27,FALSE,421,TRUE,TRUE,10.2,0,214
140,2019-12-04T02:28,TRUE,1168,TRUE,TRUE,9.6,0,317
141,2019-12-04T02:29,FALSE,736,TRUE,TRUE,10,0,68
142,2019-12-04T02:30,TRUE,364,TRUE,TRUE,9.4,0,47
143,2019-12-04T02:31,FALSE,0,TRUE,TRUE,9.6,0,18
144,2019-12-04T02:32,FALSE,479,TRUE,TRUE,9.4,4,26
145,2019-12-04T02:33,FALSE,238,TRUE,TRUE,9.6,0,9
146,2019-12-04T02:34,FALSE,0,TRUE,TRUE,9.4,0,22
147,2019-12-04T02:35,FALSE,0,TRUE,TRUE,9.6,0,13
148,2019-12-04T02:36,FALSE,0,TRUE,TRUE,9.4,0,11
149,2019-12-04T02:37,FALSE,0,TRUE,TRUE,11,0,6
150,2019-12-04T02:38,FALSE,0,TRUE,TRUE,10.2,0,0
151,2019-12-04T02:39,FALSE,0,TRUE,TRUE,9.4,0,0
152,2019-12-04T02:40,FALSE,0,TRUE,TRUE,9.4,0,0
153,2019-12-04T02:42,TRUE,0,TRUE,TRUE,9.6,0,13
154,2019-12-04T02:43,FALSE,0,TRUE,TRUE,9.4,0,19
155,2019-12-04T02:44,FALSE,0,TRUE,TRUE,10.4,0,15
156,2019-12-04T02:45,FALSE,0,TRUE,TRUE,9.4,0,20
157,2019-12-04T02:46,FALSE,0,TRUE,TRUE,10.4,0,4
158,2019-12-04T02:47,FALSE,0,TRUE,TRUE,9.2,0,14
159,2019-12-04T02:48,FALSE,0,TRUE,TRUE,9.6,0,15
160,2019-12-04T02:49,TRUE,0,TRUE,TRUE,9.6,0,28
161,2019-12-04T02:50,FALSE,0,TRUE,TRUE,10.4,0,10
162,2019-12-04T02:51,FALSE,0,TRUE,TRUE,10.2,0,24
163,2019-12-04T02:52,TRUE,0,TRUE,TRUE,9.8,0,12
164,2019-12-04T02:53,FALSE,0,TRUE,TRUE,9.6,0,13
165,2019-12-04T02:54,FALSE,0,TRUE,TRUE,9.4,0,24
166,2019-12-04T02:55,TRUE,0,TRUE,TRUE,9.8,0,27
167,2019-12-04T02:56,FALSE,0,TRUE,TRUE,9.8,0,20
168,2019-12-04T02:57,FALSE,0,TRUE,TRUE,9.8,0,2
169,2019-12-04T02:58,FALSE,2,TRUE,TRUE,10.8,0,27
170,2019-12-04T02:59,FALSE,1,TRUE,TRUE,10,0,15
171,2019-12-04T03:00,FALSE,0,TRUE,TRUE,10.4,0,10
172,2019-12-04T03:01,FALSE,21,TRUE,TRUE,9.4,0,37
173,2019-12-04T03:02,FALSE,0,TRUE,TRUE,9.4,0,26
174,2019-12-04T03:03,TRUE,53,TRUE,TRUE,9.6,0,20
175,2019-12-04T03:04,FALSE,0,TRUE,TRUE,9.4,0,6
176,2019-12-04T03:05,FALSE,0,TRUE,TRUE,9.8,0,15
177,2019-12-04T03:06,FALSE,0,TRUE,TRUE,9.4,0,18
178,2019-12-04T03:07,FALSE,0,TRUE,TRUE,9.8,0,24
179,2019-12-04T03:08,FALSE,14,TRUE,TRUE,11.2,0,12
180,2019-12-04T03:09,TRUE,113,TRUE,TRUE,10.2,0,35
181,2019-12-04T03:10,FALSE,0,TRUE,TRUE,9.6,0,22
182,2019-12-04T03:11,FALSE,0,TRUE,TRUE,9.8,0,14
