,link,poe_status,poe_power,rx_packets,tx_packets,rx_fcserrors,time
524,True,False,0.0,197,1075,6,2019-12-08T09:07
525,True,False,0.0,184,1050,3,2019-12-08T09:08
526,True,False,0.0,198,1028,5,2019-12-08T09:09
527,True,False,0.0,222,1010,8,2019-12-08T09:10
528,True,False,0.0,201,1111,1,2019-12-08T09:11
529,True,False,0.0,208,1182,2,2019-12-08T09:12
530,True,False,0.0,234,1283,3,2019-12-08T09:13
531,True,False,0.0,180,956,4,2019-12-08T09:14
532,True,False,0.0,205,1079,3,2019-12-08T09:15
533,True,False,0.0,200,966,4,2019-12-08T09:16
534,True,False,0.0,191,1236,3,2019-12-08T09:17
535,True,False,0.0,196,997,4,2019-12-08T09:18
536,True,False,0.0,201,1104,2,2019-12-08T09:19
537,True,False,0.0,924,4075,11,2019-12-08T09:23
538,True,False,0.0,208,1035,4,2019-12-08T09:24
539,True,False,0.0,192,1130,6,2019-12-08T09:25
540,True,False,0.0,176,1041,5,2019-12-08T09:26
541,True,False,0.0,195,1176,3,2019-12-08T09:27
542,True,False,0.0,191,1023,3,2019-12-08T09:28
543,True,False,0.0,169,1493,4,2019-12-08T09:29
544,True,False,0.0,197,1085,6,2019-12-08T09:30
545,True,False,0.0,192,1069,4,2019-12-08T09:31
546,True,False,0.0,203,1357,2,2019-12-08T09:32
547,True,False,0.0,186,1163,3,2019-12-08T09:33
548,True,False,0.0,263,1457,1,2019-12-08T09:34
549,True,False,0.0,256,1160,3,2019-12-08T09:35
550,True,False,0.0,233,1084,1,2019-12-08T09:36
551,True,False,0.0,190,1056,3,2019-12-08T09:37
552,True,False,0.0,184,1148,2,2019-12-08T09:38
553,True,False,0.0,177,1053,1,2019-12-08T09:39
554,True,False,0.0,195,1021,5,2019-12-08T09:40
555,True,False,0.0,171,1076,3,2019-12-08T09:41
556,True,False,0.0,190,1260,5,2019-12-08T09:42
557,True,False,0.0,201,1042,6,2019-12-08T09:43
558,True,False,0.0,176,1098,3,2019-12-08T09:44
559,True,False,0.0,179,992,1,2019-12-08T09:45
560,True,False,0.0,191,1093,8,2019-12-08T09:46
561,True,False,0.0,188,980,1,2019-12-08T09:47
562,True,False,0.0,180,1031,4,2019-12-08T09:48
563,True,False,0.0,192,1140,2,2019-12-08T09:49
564,True,False,0.0,171,917,11,2019-12-08T09:50
565,True,False,0.0,224,1128,11,2019-12-08T09:51
566,True,False,0.0,230,1016,1,2019-12-08T09:52
567,True,False,0.0,198,1101,13,2019-12-08T09:53
568,True,False,0.0,170,1116,5,2019-12-08T09:54
569,True,False,0.0,174,994,8,2019-12-08T09:55
570,True,False,0.0,183,987,6,2019-12-08T09:56
571,True,False,0.0,178,1125,1,2019-12-08T09:57
572,True,False,0.0,209,1009,4,2019-12-08T09:58
573,True,False,0.0,208,1196,7,2019-12-08T09:59
574,True,False,0.0,170,833,3,2019-12-08T10:00
575,True,False,0.0,183,1007,6,2019-12-08T10:01
576,True,False,0.0,213,1076,4,2019-12-08T10:02
577,True,False,0.0,176,995,1,2019-12-08T10:03
578,True,False,0.0,186,953,2,2019-12-08T10:04
579,True,False,0.0,171,998,4,2019-12-08T10:05
580,True,False,0.0,868,4599,8,2019-12-08T10:09
581,True,False,0.0,199,1026,5,2019-12-08T10:10
582,True,False,0.0,216,1105,3,2019-12-08T10:11
583,True,False,0.0,194,1303,6,2019-12-08T10:12
584,True,False,0.0,216,1182,5,2019-12-08T10:13
585,True,False,0.0,215,1066,10,2019-12-08T10:14
586,True,False,0.0,194,1111,2,2019-12-08T10:15
587,True,False,0.0,215,1117,4,2019-12-08T10:16
588,True,False,0.0,208,1099,5,2019-12-08T10:17
589,True,False,0.0,188,981,7,2019-12-08T10:18
590,True,False,0.0,206,1048,5,2019-12-08T10:19
591,True,False,0.0,2070,3974,509,2019-12-08T10:20
592,True,False,0.0,7951,11831,1723,2019-12-08T10:21
593,True,False,0.0,234,1163,0,2019-12-08T10:22
594,True,False,0.0,184,1261,3,2019-12-08T10:23
595,True,False,0.0,1154,2331,120,2019-12-08T10:24
596,True,False,0.0,197,1081,5,2019-12-08T10:25
597,True,False,0.0,189,991,5,2019-12-08T10:26
598,True,False,0.0,183,1132,4,2019-12-08T10:27
599,True,False,0.0,205,1034,2,2019-12-08T10:28
600,True,False,0.0,173,1100,6,2019-12-08T10:29
601,True,False,0.0,181,1053,4,2019-12-08T10:30
602,True,False,0.0,190,1151,3,2019-12-08T10:31
603,True,False,0.0,202,1288,4,2019-12-08T10:32
604,True,False,0.0,183,1033,4,2019-12-08T10:33
605,True,False,0.0,222,1040,5,2019-12-08T10:34
606,True,False,0.0,186,1147,2,2019-12-08T10:35
607,True,False,0.0,191,1035,5,2019-12-08T10:36
608,True,False,0.0,692,3029,13,2019-12-08T10:39
609,True,False,0.0,242,1061,0,2019-12-08T10:40
610,True,False,0.0,206,1129,5,2019-12-08T10:41
611,True,False,0.0,206,1189,5,2019-12-08T10:42
612,True,False,0.0,221,1226,5,2019-12-08T10:43
613,True,False,0.0,202,1015,2,2019-12-08T10:44
614,True,False,0.0,215,1036,13,2019-12-08T10:45
615,True,False,0.0,196,1001,2,2019-12-08T10:46
616,True,False,0.0,186,1245,2,2019-12-08T10:47
617,True,False,0.0,202,1058,9,2019-12-08T10:48
618,True,False,0.0,204,1051,5,2019-12-08T10:49
619,True,False,0.0,188,1139,0,2019-12-08T10:50
620,True,False,0.0,228,1423,3,2019-12-08T10:51
621,True,False,0.0,329,1112,10,2019-12-08T10:52
622,True,False,0.0,203,1190,5,2019-12-08T10:53
623,True,False,0.0,195,937,4,2019-12-08T10:54
624,True,False,0.0,241,1149,4,2019-12-08T10:55
625,True,False,0.0,189,1007,3,2019-12-08T10:56
626,True,False,0.0,197,1030,5,2019-12-08T10:57
627,True,False,0.0,249,1134,5,2019-12-08T10:58
628,True,False,0.0,215,1176,2,2019-12-08T10:59
629,True,False,0.0,204,1034,4,2019-12-08T11:00
630,True,False,0.0,211,998,11,2019-12-08T11:01
631,True,False,0.0,234,1249,1,2019-12-08T11:02
632,True,False,0.0,204,1114,19,2019-12-08T11:03
633,True,False,0.0,216,991,1,2019-12-08T11:04
634,True,False,0.0,197,1177,13,2019-12-08T11:05
635,True,False,0.0,193,911,3,2019-12-08T11:06
636,True,False,0.0,192,1187,3,2019-12-08T11:07
637,True,False,0.0,183,1090,4,2019-12-08T11:08
638,True,False,0.0,177,915,3,2019-12-08T11:09
639,True,False,0.0,221,1071,2,2019-12-08T11:10
640,True,False,0.0,174,1138,4,2019-12-08T11:11
641,True,False,0.0,215,1367,2,2019-12-08T11:12
642,True,False,0.0,226,1001,8,2019-12-08T11:13
643,True,False,0.0,203,1162,3,2019-12-08T11:14
644,True,False,0.0,182,964,10,2019-12-08T11:15
645,True,False,0.0,197,978,6,2019-12-08T11:16
646,True,False,0.0,175,1395,1,2019-12-08T11:17
647,True,False,0.0,177,1089,4,2019-12-08T11:18
648,True,False,0.0,196,1214,2,2019-12-08T11:19
649,True,False,0.0,186,1192,7,2019-12-08T11:20
